GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.services.Etudiant,EtudiantService,35,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.Config,SpringDocConfig,166,0,0,0,45,0,11,0,11,0
Foyer,tn.esprit.spring.dao.entities,Universite,50,0,0,0,8,0,11,0,11,0
Foyer,tn.esprit.spring.dao.entities,Chambre,27,43,0,0,2,8,2,11,2,11
Foyer,tn.esprit.spring.dao.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Bloc,51,19,0,0,6,4,9,4,9,4
Foyer,tn.esprit.spring.dao.entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.dao.entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Reservation,56,0,0,0,8,0,10,0,10,0
Foyer,tn.esprit.spring.dao.entities,Etudiant,90,0,0,0,12,0,17,0,17,0
Foyer,tn.esprit.spring.dao.entities,Foyer,55,15,0,0,6,4,10,3,10,3
Foyer,tn.esprit.spring.dao.entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Etudiant.EtudiantBuilder,72,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.AOP,FoyerAspect,36,0,0,0,11,0,5,0,5,0
Foyer,tn.esprit.spring.services.Bloc,BlocService,180,0,10,0,39,0,14,0,9,0
Foyer,tn.esprit.spring.services.Foyer,FoyerService,152,0,4,0,31,0,12,0,10,0
Foyer,tn.esprit.spring.services.chambre,ChambreService,144,325,31,17,26,62,25,22,1,20
Foyer,tn.esprit.spring.Schedular,Schedular,3,0,0,0,1,0,1,0,1,0
Foyer,tn.esprit.spring.Schedular,test,7,0,0,0,2,0,2,0,2,0
Foyer,tn.esprit.spring,FoyerApplication,8,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.spring.services.reservation,ReservationService,363,0,24,0,76,0,25,0,12,0
Foyer,tn.esprit.spring.restcontrollers,FoyerRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.restcontrollers,BlocRestController,42,0,0,0,10,0,8,0,8,0
Foyer,tn.esprit.spring.restcontrollers,UniversiteRestController,30,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.restcontrollers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.restcontrollers,ChambreRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.restcontrollers,EtudiantRestController,30,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.services.Universite,UniversiteService,35,0,0,0,8,0,6,0,6,0
